Measure,Selection,Z_score,Estimate_adjusted,CI_adjusted_lower,CI_adjusted_upper,Estimate_unadjusted,CI_unadjusted_lower,CI_unadjusted_upper
log OR,0,FALSE,1.5359552594068984,1.177511383835885,1.8943991349779117,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0,TRUE,1.5359552594068984,1.177511383835885,1.8943991349779117,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.1,FALSE,1.5325400071677266,1.1748573263168867,1.8902226880185666,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.1,TRUE,1.5297672225313939,1.1726349120808006,1.886899532981987,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.2,FALSE,1.529166064039732,1.1721445172096505,1.8861876108698135,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.2,TRUE,1.5237218747314378,1.1675508892689885,1.8798928601938871,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.30000000000000004,FALSE,1.5258355409539348,1.1693683518868574,1.8823027300210122,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.30000000000000004,TRUE,1.5178314312271526,1.1622274864269488,1.8734353760273563,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.4,FALSE,1.5225504883273224,1.1665236763384295,1.8785773003162154,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.4,TRUE,1.5121069323749348,1.1566274778112837,1.8675863869385858,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.5,FALSE,1.5193128652473185,1.1636048064612505,1.8750209240333864,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.5,TRUE,1.5065578529177117,1.1507099062169774,1.862405799618446,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.6000000000000001,FALSE,1.5161245129664584,1.160605576020962,1.871643449911955,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.6000000000000001,TRUE,1.5011919919850387,1.1444330333945099,1.8579509505755676,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.7000000000000001,FALSE,1.5129871343611379,1.1575194167705813,1.8684548519516944,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.7000000000000001,TRUE,1.4960156871120338,1.1377586032486002,1.8542727709754674,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.8,FALSE,1.5099022807675135,1.1543394735170833,1.8654650880179438,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.8,TRUE,1.49103433405178,1.1306572306069502,1.8514114374966097,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.9,FALSE,1.506871347269004,1.1510587559323764,1.8626839386056318,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.9,TRUE,1.4862531247242712,1.1231144494346017,1.8493918000139407,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1,FALSE,1.5038955770808862,1.147670327574085,1.8601208265876874,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1,TRUE,1.481677851005264,1.1151366527879705,1.8482190492225574,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.1,FALSE,1.5009760751713295,1.1441675308930934,1.8577846194495655,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.1,TRUE,1.477315578585189,1.1067559124478998,1.8478752447224782,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.2000000000000002,FALSE,1.498113830693877,1.1405442449626806,1.8556834164250735,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.2000000000000002,TRUE,1.473174990137913,1.0980325860586349,1.848317394217191,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.3,FALSE,1.4953097472089534,1.1367951703090333,1.8538243241088734,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,1.3,TRUE,1.4692662431523638,1.0890548009234204,1.849477685381307,1.5360044010485687,1.1810358511454715,1.890972950951666
log RR,0,FALSE,1.077185743957181,0.7850680445920648,1.3693034433222973,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0,TRUE,1.077185743957181,0.7850680445920648,1.3693034433222973,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.1,FALSE,1.0745884598975588,0.7836542948554637,1.365522624939654,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.1,TRUE,1.0711366598680507,0.7817118645096557,1.3605614552264458,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.2,FALSE,1.072058966992196,0.7822385795363409,1.3618793544480512,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.2,TRUE,1.0654685576619627,0.7783316276647316,1.3526054876591938,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.30000000000000004,FALSE,1.0695972954922872,0.7808191948823806,1.3583753961021938,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.30000000000000004,TRUE,1.0601782205716166,0.774905772398724,1.3454506687445091,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.4,FALSE,1.0672033372169778,0.7793944745598136,1.355012199874142,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.4,TRUE,1.0552587566238807,0.7714144012437993,1.339103112003962,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.5,FALSE,1.064876853491058,0.7779627959373354,1.3517909110447806,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.5,TRUE,1.0507002169634019,0.767839603743736,1.3335608301830677,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.6000000000000001,FALSE,1.0626174832659085,0.7765225856869429,1.3487123808448742,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.6000000000000001,TRUE,1.0464902032282557,0.7641657172084855,1.328814689248026,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.7000000000000001,FALSE,1.060424751358496,0.775072324760691,1.3457771779563008,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.7000000000000001,TRUE,1.0426144435361988,0.7603795671899509,1.3248493198824467,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.8,FALSE,1.058298076745842,0.7736105528176745,1.3429856006740097,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.8,TRUE,1.0390573209055174,0.7564707259451002,1.3216439158659345,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.9,FALSE,1.0562367808555075,0.7721358721881092,1.3403376895229058,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,0.9,TRUE,1.0358023422979254,0.7524318152761182,1.3191728693197327,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1,FALSE,1.0542400957961846,0.7706469514707998,1.3378332401215696,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1,TRUE,1.032832540687475,0.7482588615650448,1.317406219809905,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.1,FALSE,1.0523071724763782,0.7691425288661582,1.3354718160865982,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.1,TRUE,1.0301308065139723,0.7439516883230224,1.3163099247049221,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.2000000000000002,FALSE,1.0504370885632983,0.7676214153490695,1.3332527617775272,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.2000000000000002,TRUE,1.0276801485454339,0.7395143087322388,1.315845988358629,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.3,FALSE,1.048628856238405,0.7660824977841711,1.3311752146926388,1.077159685129735,0.7932994067823256,1.3610199634771443
log RR,1.3,TRUE,1.0254638875510946,0.7349552614918939,1.3159725136102953,1.077159685129735,0.7932994067823256,1.3610199634771443
